Ticker,Initial Equity,Net P/L,Annualized Sharpe,Trades Made,Avg P/L,Max Profit,Max Loss,Annual Ret,Final Equity
AAPL,10000,32503.530000000002,3.0569251023771535,112,290.21008928571433,3573.550000000003,-1332.45,325.0352999999998,43429.029999999984
WMT,10000,22168.85,2.8298829946510713,123,180.23455284552844,1515.5800000000002,-347.0599999999998,241.4393999999992,34143.93999999993
TSLA,10000,197869.21999999997,2.998907103042091,109,1815.3139449541281,86687.8,-2023.2,1978.6922000000075,208882.16000000015
GE,10000,35880.52,2.4619206753785865,115,312.0045217391304,5346.4,-602.6000000000006,358.8052000000003,45880.519999999946
AMZN,10000,43155.0,3.1552769850689835,113,381.9026548672566,3409.6000000000013,-882.6799999999996,431.55000000000274,53955.57000000003
DB,10000,17331.559999999998,1.425958304449074,100,173.3156,3147.55,-659.7599999999993,173.31559999999985,27331.559999999947
